text,category
Parking shopping Metro in Bangalore afternoon,Travel
Phone Cover purchased Bata after class,Shopping
Dal Rice paid for JioMart using cash,Food
Ice Cream via Behrouz using debit card night,Food
Yatra Parking ke liye payment,Travel
Chaayos Chocolate bharwaya,Food
Nykaa Watch diya in Delhi daily expense,Shopping
Room Rent bought Apartment using phonepe,Rent
Fruits weekly Local Dhaba,Food
Insurance monthly Jio using gpay during trip morning,Bills
College Canteen Lassi pe gaya using upi,Food
Concert subscription Epic Games for college,Entertainment
Parking this month Indigo yesterday,Travel
Barista Groceries bharwaya using debit card,Food
Concert weekly Epic Games,Entertainment
RedBus Metro Ticket ka bill in Agra today,Travel
Electricity Bill subscription Gas Agency using debit card today,Bills
Laptop bought Noise urgent purchase morning,Shopping
Bowling using Netflix Premium using credit card in Agra birthday,Entertainment
Fastag Recharge paid for Parking using credit card during trip month end,Travel
Broadband Bill at HDFC in Hyderabad during vacation,Bills
Insurance this week SBI urgent purchase,Bills
Haldirams Pizza kharida using debit card,Food
Apple Store Notebook book ki using debit card,Shopping
Room Rent using PG using phonepe during trip,Rent
Puma Books diya using upi late night,Shopping
Swiggy Dosa recharge kiya during vacation morning,Food
HDFC Gas Bill pe khaya,Bills
Burger from CCD using phonepe evening,Food
Air India Taxi ka payment using paytm month end,Travel
Spotify Concert book ki in Mumbai exam week morning,Entertainment
Earbuds weekly Shopping Mall using credit card afternoon,Shopping
JioCinema Gaming pe khaya using paytm daily expense,Entertainment
Shawarma shopping Dmart using upi yesterday,Food
Hostel Room Rent diya using phonepe in Pune for college,Rent
Behrouz Dosa diya using credit card,Food
Air India Fastag Recharge bhar diya using upi,Travel
EMI weekly Water Department using credit card in Mumbai festival shopping night,Bills
Arcade monthly Epic Games using phonepe for college,Entertainment
Recharge using SBI in Agra,Bills
Credit Card Bill today Electricity Board using credit card,Bills
Insurance order Credit Card,Bills
Bottle this month Woodland using upi,Shopping
Prime Video Movie Ticket se liya late night,Entertainment
Hostel Security Deposit liya in Jaipur,Rent
Jacket weekly OnePlus Store using gpay in Pune,Shopping
Metro Toll Tax se mangaya using phonepe urgent purchase,Travel
Cricket Match bill PVR using credit card in Mumbai,Entertainment
Hostel Hostel Fee book ki late night weekend,Rent
Petrol Pump Cab ke liye payment in Delhi,Travel
IPL Ticket using JioCinema in Lucknow,Entertainment
Fruits this month Faasos in Agra urgent purchase,Food
Box8 Biryani se mangaya using cash,Food
Society Flat Rent order kiya using debit card,Rent
ICICI Gas Bill recharge kiya in Hyderabad,Bills
Bus Ticket bought IRCTC using gpay morning,Travel
Biscuits booking Spencer using debit card,Food
Cricket Match this week Epic Games in Hyderabad,Entertainment
Rapido Metro Ticket pe khaya using paytm,Travel
Backpack shopping Pantaloons using cash,Shopping
Tempered Glass booking Adidas weekend,Shopping
Taxi via SpiceJet in Hyderabad,Travel
Tata Cliq Saree recharge kiya,Shopping
College Canteen Roll book ki hostel life,Food
House PG Rent ka payment,Rent
Evening Snacks bill Blinkit using gpay in Jaipur,Food
Meesho Face Wash se mangaya in Bangalore,Shopping
Recharge purchase Broadband,Bills
FireBoltt Watch ka payment during trip,Shopping
Lipstick expense Nykaa Fashion using phonepe in Jaipur exam week,Shopping
Paneer purchase BigBasket after class weekend,Food
Tata Cliq Kurti kharida using upi,Shopping
Spotify Bowling bharwaya using gpay in Mumbai for office yesterday,Entertainment
Gaming at BookMyShow in Lucknow hostel life afternoon,Entertainment
CCD Bread liya using upi,Food
Internet Bill via SBI in Jaipur for college night,Bills
Parking Toll Tax bhar diya,Travel
Metro Ticket subscription SpiceJet using gpay in Noida,Travel
AbhiBus Bus Ticket diya using paytm birthday morning,Travel
AbhiBus Flight Ticket bharwaya using paytm in Agra,Travel
Cafe Bread se mangaya using upi festival shopping,Food
Shampoo order Croma in Pune daily expense,Shopping
Subscription subscription Netflix using paytm in Jaipur hostel life yesterday,Entertainment
Sandwich Zepto evening,Food
Train Ticket purchase Indigo in Hyderabad late night,Travel
Subway Eggs kharida,Food
Reliance Digital Notebook pe gaya,Shopping
IRCTC Petrol kharida in Delhi for office,Travel
Diesel purchased Indigo afternoon,Travel
Puma Jeans mangaya using debit card in Agra birthday,Shopping
Fastag Petrol diya for hostel,Travel
Evening Snacks shopping Blue Tokai using phonepe yesterday,Food
Gas Bill food ACT Fiber,Bills
Myntra Earbuds pe khaya using cash,Shopping
swiggy Paneer ke liye payment in Delhi,Food
College Canteen Vegetables ka bill in Noida,Food
Hostel Flat Rent pe gaya in Hyderabad for college,Rent
MakeMyTrip Flight Ticket kharida using phonepe,Travel
Hostel House Rent liya,Rent
Taxi at Petrol Pump in Bangalore festival shopping,Travel
Shoes bought Local Market using gpay in Mumbai,Shopping
RedBus Diesel se liya in Jaipur,Travel
Arcade PVR,Entertainment
PG Rent food Room in Agra evening night,Rent
Bread Bikanervala in Hyderabad,Food
Credit Card Bill today Electricity Board using upi,Bills
Insurance order Broadband in Pune,Bills
MakeMyTrip Petrol ka bill using gpay,Travel
Subway Groceries monthly payment using paytm in Noida late night,Food
Credit Card Broadband Bill liya afternoon,Bills
Flat Flat Rent diya using cash morning,Rent
Water Bill using Electricity Board,Bills
Starbucks Poha ka bill using paytm,Food
Shoppers Stop Speaker se liya in Jaipur weekend,Shopping
House Rent order Room late night,Rent
Epic Games IPL Ticket book ki using upi,Entertainment
Adidas Makeup Kit monthly payment during trip,Shopping
Pasta today Zomato evening,Food
Bottle purchased Puma using gpay evening,Shopping
Gift recharge Amazon monthly,Shopping
Movie Ticket purchased PlayStation Store in Bangalore,Entertainment
Swiggy Breakfast recharge kiya,Food
Dal Rice payment Hostel Mess using credit card,Food
Prime Video Arcade pe khaya using credit card,Entertainment
Nykaa Laptop liya late night afternoon,Shopping
Pen via Zara using credit card in Mumbai during vacation,Shopping
Momos yesterday Instamart,Food
Fastag Train Ticket diya,Travel
Cab bill Indigo using phonepe evening,Travel
Hostel Fee PG using upi in Lucknow,Rent
Apartment Flat Rent diya,Rent
Broadband Recharge order kiya in Lucknow for hostel,Bills
Jeans purchased Nike in Noida morning evening,Shopping
Cold Coffee order Pizza Hut in Agra,Food
Steam Movie Ticket order kiya,Entertainment
Apple Store Gift kharida using cash morning,Shopping
Lifestyle Lunch Box ka bill,Shopping
Oven Story Butter pe khaya in Bangalore afternoon,Food
Headphones yesterday Zara using upi for hostel,Shopping
Ajio Wallet kharida,Shopping
Evening Snacks order Subway using phonepe evening,Food
Chaayos Breakfast ka bill for hostel afternoon,Food
Gas Bill paid for Credit Card using cash weekend,Bills
Mi Store Phone Cover kharida,Shopping
Gas Agency EMI order kiya,Bills
More Supermarket Fruits mangaya using gpay in Noida,Food
Barista Snacks monthly payment using gpay exam week,Food
Metro Diesel kharida weekend morning,Travel
Keyboard order Shoppers Stop using credit card in Jaipur,Shopping
Society House Rent pe khaya in Pune night,Rent
Shampoo subscription Nykaa using paytm during trip,Shopping
Goibibo Auto bharwaya in Lucknow evening,Travel
Lassi order Bikanervala late night,Food
House Rent bought Society using phonepe,Rent
Burger Singh Biryani ka payment using paytm with friends,Food
Adidas Lunch Box se liya evening,Shopping
Steam IPL Ticket pe khaya,Entertainment
Theobroma Cold Coffee mangaya in Jaipur urgent purchase morning,Food
Shoes today Lifestyle using phonepe,Shopping
Nike Notebook pe khaya in Jaipur hostel life afternoon,Shopping
Room Rent Room using credit card,Rent
Paneer this month Starbucks,Food
PVR Concert pe gaya using phonepe hostel life,Entertainment
Disney Hotstar Subscription order kiya using gpay morning,Entertainment
Akasa Parking kharida in Hyderabad,Travel
ACT Fiber EMI ke liye payment using credit card,Bills
Meesho Hoodie ka payment using phonepe in Delhi,Shopping
Spotify IPL Ticket book ki,Entertainment
Maintenance bought House weekend,Rent
Apartment House Rent se liya after class,Rent
Noodles order Burger Singh using debit card in Agra for college yesterday,Food
Boat Makeup Kit se liya using paytm in Agra,Shopping
OnePlus Store Speaker se mangaya using phonepe during trip,Shopping
Haldirams Pasta pe gaya during trip,Food
Movie subscription Spotify in Hyderabad,Entertainment
Taxi weekly IRCTC festival shopping,Travel
Dinner yesterday Blue Tokai using phonepe in Mumbai for office,Food
Samsung Store Saree pe gaya using paytm festival shopping,Shopping
Decathlon Makeup Kit se liya in Delhi for hostel,Shopping
IPL Ticket purchased BookMyShow using credit card morning,Entertainment
Dmart Groceries book ki using debit card late night weekend,Food
JioMart Idli ka payment,Food
Flat Rent paid for Apartment using debit card,Rent
RedBus Parking se liya using credit card evening,Travel
Cab recharge RedBus using credit card,Travel
SBI Recharge se liya using gpay,Bills
Idli JioMart late night,Food
Shopping Mall Face Wash mangaya using credit card,Shopping
Spotify Music se liya festival shopping,Entertainment
Room Hostel Fee liya using phonepe in Jaipur weekend,Rent
Wallet yesterday H&M using paytm after class,Shopping
BookMyShow Gaming se mangaya evening,Entertainment
Poha expense EatFit using upi in Agra,Food
Maintenance from House weekend,Rent
Dal Rice this week zomato in Hyderabad for family yesterday,Food
Petrol Pump Toll Tax ka bill in Noida,Travel
Tempered Glass food Adidas using phonepe today,Shopping
Burger King Pizza ka bill using paytm,Food
Dosa weekly KFC using upi in Agra with friends night,Food
Train Ticket this week RedBus for hostel yesterday,Travel
ICICI Gas Bill book ki evening,Bills
Adidas Bottle ke liye payment,Shopping
PlayStation Store Subscription pe khaya with friends,Entertainment
Water Department Internet Bill monthly payment using upi daily expense afternoon,Bills
Cricket Match weekly PlayStation Store using upi in Lucknow,Entertainment
Milk payment EatFit,Food
Train Ticket monthly Akasa in Lucknow,Travel
Mouse recharge Metro Shoes in Delhi,Shopping
Lunch Box expense Mi Store after class,Shopping
Security Deposit PG birthday,Rent
Coffee payment More Supermarket using paytm in Pune afternoon,Food
Uber Diesel kharida using cash in Hyderabad,Travel
House Rent yesterday PG using upi during trip,Rent
Adidas Tempered Glass kharida using phonepe in Hyderabad,Shopping
Lipstick purchase Reliance Digital in Noida weekend,Shopping
Dinner bought CCD,Food
Taxi bill Indigo using gpay in Agra yesterday,Travel
Adidas Headphones pe khaya in Lucknow,Shopping
Noise Laptop ka payment month end,Shopping
Pen order Shoppers Stop in Jaipur birthday,Shopping
Makeup Kit order Adidas using cash,Shopping
Phone Cover payment Croma using upi in Agra for hostel weekend,Shopping
Burger King Coffee ka bill using debit card for family,Food
Toll Tax from Fastag using cash night,Travel
Speaker using Meesho using debit card,Shopping
Speaker weekly Zara in Hyderabad,Shopping
Starbucks Chocolate recharge kiya in Pune late night today,Food
Recharge weekly Vi in Mumbai monthly,Bills
McDonalds Vegetables recharge kiya,Food
Fruits bought Swiggy using phonepe urgent purchase yesterday,Food
Instamart Momos kharida using phonepe,Food
Shoes purchase Westside using debit card evening,Shopping
Disney Hotstar Music kharida after class evening,Entertainment
Epic Games Arcade recharge kiya using paytm in Agra,Entertainment
Vi Broadband Bill bhar diya,Bills
Noise Monitor ka bill using upi,Shopping
Cricket Match shopping PVR using phonepe,Entertainment
Room Rent subscription Hostel using gpay afternoon,Rent
Westside Phone Charger book ki,Shopping
Credit Card Bill at ICICI using paytm in Jaipur afternoon,Bills
Burger from Blinkit,Food
Air India Train Ticket liya using gpay month end,Travel
Movie Ticket expense Spotify in Noida during vacation,Entertainment
AbhiBus Flight Ticket monthly payment,Travel
Instamart Biscuits bharwaya,Food
College Canteen Eggs monthly payment evening,Food
Excitel Electricity Bill bharwaya using phonepe,Bills
Fastag Recharge booking Air India in Lucknow,Travel
House Rent purchase PG using gpay in Delhi,Rent
Adidas Saree mangaya using gpay in Jaipur with friends afternoon,Shopping
CCD Paratha pe gaya daily expense afternoon,Food
Maintenance using Hostel exam week evening,Rent
Barista Roll pe gaya,Food
Music payment BookMyShow afternoon,Entertainment
Movie monthly PlayStation Store using gpay in Hyderabad,Entertainment
Toll Tax order Uber during trip,Travel
Spotify Gaming kharida during trip,Entertainment
BigBasket Groceries pe gaya using gpay daily expense,Food
Watch weekly Ajio for family,Shopping
Spencer Rajma Chawal book ki weekend,Food
IPL Ticket subscription JioCinema in Lucknow for hostel,Entertainment
Train Ticket shopping SpiceJet urgent purchase,Travel
Paneer this month BigBasket birthday,Food
SBI Broadband Bill monthly payment exam week,Bills
Jio Gas Bill ka payment after class,Bills
Lifestyle USB Cable se liya in Delhi festival shopping,Shopping
Disney Hotstar Music ka bill for family,Entertainment
Broadband Bill monthly Broadband in Bangalore evening month end,Bills
MakeMyTrip Auto pe gaya in Pune birthday,Travel
Nike Lunch Box bharwaya using debit card after class,Shopping
Concert shopping JioCinema evening,Entertainment
PG Rent booking Room using cash,Rent
netfix Movie Ticket ka payment,Entertainment
Subway Paratha pe gaya,Food
Jio Electricity Bill pe gaya using phonepe,Bills
Parking paid for Akasa using debit card urgent purchase,Travel
Spotify Arcade kharida,Entertainment
Train Ticket monthly Uber morning morning,Travel
Burger this month JioMart month end,Food
Movie Ticket recharge Steam in Pune festival shopping,Entertainment
Music food Xbox using debit card,Entertainment
Fastag Flight Ticket bhar diya for college,Travel
Metro Ticket payment Akasa using upi,Travel
Rapido Flight Ticket monthly payment using debit card late night,Travel
Meesho Kurti book ki using gpay festival shopping,Shopping
Roll from Burger Singh during trip,Food
Keyboard yesterday Zara,Shopping
FireBoltt Saree mangaya late night afternoon,Shopping
PVR Bowling se liya exam week,Entertainment
Metro Ticket bill Parking using phonepe in Jaipur birthday,Travel
Credit Card Bill food SBI month end,Bills
Airtel Insurance bharwaya,Bills
IPL Ticket order Xbox using phonepe,Entertainment
Concert purchase Prime Video using debit card monthly,Entertainment
Spotify Movie Ticket bhar diya,Entertainment
ACT Fiber Internet Bill order kiya using cash in Mumbai,Bills
Blue Tokai Milk ka payment using cash,Food
House Rent weekly Hostel,Rent
Security Deposit using Room in Agra weekend night,Rent
Box8 Dosa diya,Food
PG Rent bought PG using phonepe in Noida,Rent
Cold Coffee booking CCD,Food
Rapido Flight Ticket monthly payment using debit card during trip,Travel
Insurance from Excitel using upi with friends weekend,Bills
Behrouz Evening Snacks order kiya for college evening,Food
Burger Singh Biscuits se liya morning,Food
Prime Video Movie Ticket pe gaya in Lucknow,Entertainment
Biscuits today More Supermarket using upi,Food
Indigo Fastag Recharge bhar diya during vacation,Travel
Xbox Movie bhar diya using credit card in Delhi after class,Entertainment
Subscription yesterday Spotify month end,Entertainment
Kurti monthly Reliance Digital using phonepe in Noida,Shopping
Reebok Phone Charger order kiya,Shopping
Security Deposit this month Hostel,Rent
Bowling from Prime Video for college weekend,Entertainment
Meesho Makeup Kit bharwaya yesterday,Shopping
Flat Rent bought Apartment morning,Rent
JioCinema Music bharwaya in Hyderabad daily expense,Entertainment
Biscuits at Burger King birthday,Food
Makeup Kit shopping Nykaa using gpay,Shopping
Mess Dinner mangaya,Food
Reliance Fresh Biscuits pe khaya using upi for family,Food
Fastag Recharge this week Uber using gpay in Noida for office,Travel
Dominos Dinner order kiya,Food
Gas Bill shopping Credit Card after class yesterday,Bills
Maintenance shopping Society,Rent
Tea subscription Pizza Hut using debit card for hostel yesterday,Food
Samsung Store Phone Cover kharida in Hyderabad,Shopping
House Hostel Fee book ki using cash evening,Rent
Decathlon Gift diya using cash for college,Shopping
Room Rent this month PG urgent purchase today,Rent
Water Bill booking ICICI,Bills
Snacks order Burger Singh using upi,Food
Uniqlo Monitor ke liye payment using gpay,Shopping
Gaming today Netflix hostel life,Entertainment
Swiggy Noodles order kiya using gpay,Food
Lassi order Haldirams using cash for family weekend,Food
Oven Story Ice Cream pe khaya using credit card,Food
EMI via ACT Fiber during vacation,Bills
Haldirams Poha pe khaya weekend yesterday,Food
Room Rent weekly Flat birthday,Rent
Broadband Bill expense Water Department,Bills
Jeans purchased Flipkart using phonepe,Shopping
Hostel Room Rent bharwaya today,Rent
JioCinema Cricket Match monthly payment using upi yesterday,Entertainment
Broadband Credit Card Bill bharwaya using cash for hostel,Bills
Cricket Match bought Disney Hotstar,Entertainment
Earbuds bill Meesho weekend night,Shopping
Auto via Rapido in Agra monthly night,Travel
Security Deposit at Flat in Lucknow,Rent
Shopping Mall Hoodie recharge kiya using debit card morning,Shopping
Reebok Watch book ki using paytm exam week,Shopping
Juice via EatFit,Food
Cricket Match purchase Disney Hotstar,Entertainment
Biscuits booking Box8 weekend afternoon,Food
Lunch recharge Barista,Food
Dominos Lassi pe gaya using debit card exam week,Food
Music this month Spotify using debit card,Entertainment
Phone Charger bought Tata Cliq evening,Shopping
Diesel monthly AbhiBus month end,Travel
Sandwich this month Hostel Mess using cash,Food
Concert today INOX using upi in Bangalore night,Entertainment
Pizza Hut Juice se mangaya using phonepe,Food
House Rent order Hostel,Rent
Bus Ticket shopping SpiceJet in Mumbai yesterday,Travel
Samsung Store Earbuds monthly payment urgent purchase,Shopping
Zomato Paneer bhar diya using gpay in Delhi monthly month end,Food
Vi Water Bill se mangaya evening,Bills
Disney Hotstar Gaming bharwaya for college,Entertainment
Toll Tax recharge IRCTC in Hyderabad for hostel,Travel
Room Hostel Fee recharge kiya using credit card in Noida,Rent
Insurance today Vi in Noida,Bills
Flat Rent this week Apartment using paytm in Agra during vacation,Rent
Recharge recharge Airtel in Mumbai,Bills
Flight Ticket today Parking weekend,Travel
Flight Ticket expense Rapido for hostel,Travel
Local Dhaba Juice liya in Mumbai morning,Food
Xbox Concert pe khaya using upi hostel life,Entertainment
Security Deposit this month Hostel during trip afternoon,Rent
Lunch this week JioMart using upi during vacation,Food
Pizza Hut Dosa se liya using gpay during trip evening,Food
Bus Ticket SpiceJet in Bangalore for college,Travel
Dinner today KFC urgent purchase,Food
Pizza this week BigBasket in Agra festival shopping,Food
Prime Video Bowling bharwaya in Hyderabad,Entertainment
Bread yesterday Dmart using credit card,Food
Milk bill Local Dhaba using phonepe,Food
Bowling monthly PlayStation Store using paytm birthday,Entertainment
Pantaloons Earbuds book ki using credit card in Lucknow for office,Shopping
Jacket weekly Croma during vacation evening,Shopping
Saree payment Amazon using paytm in Noida morning,Shopping
Jacket this week Tata Cliq for office,Shopping
Rajma Chawal yesterday College Canteen,Food
Dominos Bread monthly payment for college,Food
MakeMyTrip Parking ka bill in Hyderabad,Travel
SBI Broadband Bill liya using gpay in Bangalore exam week,Bills
Gas Bill paid for Water Department in Mumbai afternoon,Bills
Toll Tax expense Goibibo in Mumbai for family,Travel
Shoes subscription Max Fashion afternoon,Shopping
Books bought H&M using paytm in Hyderabad morning,Shopping
RedBus Flight Ticket book ki using gpay in Delhi for college,Travel
Local Market Headphones bhar diya using credit card weekend,Shopping
Biscuits monthly Reliance Fresh in Lucknow,Food
Concert booking BookMyShow in Agra during trip,Entertainment
SBI Electricity Bill se liya using gpay birthday,Bills
Nykaa Fashion Shoes ka bill using phonepe in Noida,Shopping
Burger paid for KFC evening,Food
Restaurant Milk ka payment night,Food
Gift via Samsung Store using debit card evening,Shopping
Poha monthly Reliance Fresh using upi in Jaipur,Food
T Shirt via Max Fashion using debit card in Delhi month end,Shopping
